,target,state_var,test_score,train_mean,train_std,cv_mean,cv_std,strategy,dataset
60,output_Rg,state_gb,-0.9820795173347515,-0.937084489539728,0.006961319653004518,-0.9635743594728152,0.031366478857622775,5_folds,HydroShoot_large
61,output_An,state_gb,-0.9627071159878229,-0.938800193821056,0.004814969536896144,-0.9444211762520428,0.021181872456667653,5_folds,HydroShoot_large
62,output_E,state_gb,-0.9280589099704069,-0.8708463859401773,0.008673036240112276,-0.914520138151334,0.03842819792721433,5_folds,HydroShoot_large
63,output_Tleaf,state_gb,-0.9017492982273673,-0.7543131203610295,0.01577995059179739,-0.9045262798779664,0.13548285857063955,5_folds,HydroShoot_large
64,input_Tac,state_gs,-0.4191407243415432,-0.4271970853844348,0.010967247958613499,-0.507733333686557,0.058518291145489384,5_folds,HydroShoot_large
65,input_u,state_gs,-0.6746176897278037,-0.5860308192848447,0.015433604246061626,-0.6370350270357208,0.07069308269447959,5_folds,HydroShoot_large
66,input_hs,state_gs,-0.6887857988399603,-0.5323358702017207,0.012416471348083736,-0.5914606483581031,0.059116214493236,5_folds,HydroShoot_large
67,input_Rg,state_gs,-0.3711796511936155,-0.3429613180671952,0.004886319335152639,-0.36010467005736924,0.02088715482752759,5_folds,HydroShoot_large
68,output_Rg,state_gs,-0.4288556219214857,-0.4040998409759067,0.004249911343808697,-0.4202287703570898,0.018479096592786327,5_folds,HydroShoot_large
69,output_An,state_gs,-0.5189833635519544,-0.49368043739755113,0.005997477817320214,-0.5019116590253866,0.02504738841566709,5_folds,HydroShoot_large
70,output_E,state_gs,-0.38547127901501566,-0.3729721742928715,0.005420779985561617,-0.39205394543297856,0.025900557749046663,5_folds,HydroShoot_large
71,output_Tleaf,state_gs,-0.3927671684112153,-0.4008385582181388,0.010181477451756037,-0.46661236306804305,0.05208952110334699,5_folds,HydroShoot_large
72,input_Tac,state_psi_head,-0.379756326571322,-0.3601145112012239,0.004482805429659898,-0.41235634213923894,0.03806575042921926,5_folds,HydroShoot_large
73,input_u,state_psi_head,-0.6579806955448195,-0.5749055479342232,0.01297334904929437,-0.627276515216543,0.06355908493505091,5_folds,HydroShoot_large
74,input_hs,state_psi_head,-0.5635859631258563,-0.4316727058074711,0.012722751449006468,-0.4626250642093696,0.053792555342289106,5_folds,HydroShoot_large
75,input_Rg,state_psi_head,-0.32291988831442925,-0.2883068701668713,0.006080493297003329,-0.3074213140327384,0.026803587605569522,5_folds,HydroShoot_large
76,output_Rg,state_psi_head,-0.37598089891375563,-0.3571401921284262,0.005797199987151502,-0.3736603311270378,0.02759894397334879,5_folds,HydroShoot_large
77,output_An,state_psi_head,-0.5542866425745208,-0.5278424995586284,0.004895779121351405,-0.5392051937984992,0.021267325386986537,5_folds,HydroShoot_large
78,output_E,state_psi_head,-0.3333306255051609,-0.3082760356005044,0.0047489511177325585,-0.3178237568574003,0.023099518425401536,5_folds,HydroShoot_large
79,output_Tleaf,state_psi_head,-0.35115730690585456,-0.3358651108652092,0.004692904080630934,-0.37617245095661467,0.03259612414059708,5_folds,HydroShoot_large
80,input_Tac,state_u,-0.9409993556804063,-0.9532834989191981,0.006823813557501366,-1.0236820766006893,0.0801022730857096,5_folds,HydroShoot_large
81,input_u,state_u,-0.2804922144531387,-0.2965950777851691,0.003619576593699711,-0.2989407867831402,0.013997758892020798,5_folds,HydroShoot_large
82,input_hs,state_u,-1.0610484628820747,-0.9537582118224781,0.008989922519630421,-0.9820061126310309,0.054010445987841216,5_folds,HydroShoot_large
83,input_Rg,state_u,-0.9611150373852018,-0.9538309685508706,0.004710864216566804,-0.9624777008194989,0.023388798224121175,5_folds,HydroShoot_large
84,output_Rg,state_u,-0.9855482266086855,-0.9750668798801831,0.003745505072107896,-0.9855692079515789,0.019996913120760802,5_folds,HydroShoot_large
85,output_An,state_u,-0.9697454835863137,-0.9407676733739109,0.0049234579015740056,-0.9458257032264864,0.02096408864110471,5_folds,HydroShoot_large
86,output_E,state_u,-0.9509554959312992,-0.9377254198056001,0.004845182249068563,-0.9526513284694937,0.02917377203254611,5_folds,HydroShoot_large
87,output_Tleaf,state_u,-0.919349251797542,-0.9382212694779296,0.006512696849454125,-0.9954872574029535,0.06590634489288709,5_folds,HydroShoot_large
