,target,state_var,dataset,note,test_score,train_mean,train_std,cv_mean,cv_std
17,input_humidity,state__Ag,combined,,-0.7891356399932454,-0.5676302523661512,0.017333927017861156,-2.1010405695889998,1.6167849535791525
18,input_humidity,state__Tr,combined,,-0.1774567574938516,-0.1591297681808754,0.008184754217050097,-0.5924346476084836,0.43815822680197064
19,input_humidity,state__sucrose,combined,,-1.1696056742802217,-0.6583772725414834,0.025115421421519245,-2.456593782515475,3.045759473319952
20,input_humidity,state__Rd,combined,,-2.616900745603628,-0.5063080421551354,0.015025818116752833,-2.1689989828151317,1.3274713087130765
21,input_humidity,state__sum_respi,combined,,-1.188852032027,-0.42313269094536105,0.021101741939011175,-2.0377371319119217,1.2493801410917067
22,input_humidity,state__Photosynthesis,combined,,-0.8566425104705513,-0.5670209670380321,0.015193423039704336,-2.150774172714072,1.4617100259137297
23,input_humidity,state__PARa,combined,,-0.8475905701662043,-0.6715255609758398,0.01655654524323266,-2.2124250461256487,1.892137987477379
24,input_PARi,state__An,combined,,-0.12051854841814108,-0.130503478743249,0.006478287319629145,-0.21885792155675016,0.20106901673521893
25,input_PARi,state__Transpiration,combined,,-0.15963874124032104,-0.1444010480813025,0.005930593790936594,-0.24334297239243366,0.17490860349941711
26,input_PARi,state__S_Sucrose,combined,,-0.11462232171035996,-0.13228563514270322,0.0066174725285669065,-0.21974167602217992,0.19832465250101872
27,input_PARi,state__Ts,combined,,-0.19713395268302988,-0.15716162786032203,0.0074395955293715494,-0.29324035986371727,0.2605482363721803
28,input_PARi,state__gs,combined,,-0.1696111711496607,-0.15293507408722137,0.006963302981150008,-0.2606811132558436,0.17391741208010253
29,input_PARi,state__Ag,combined,,-0.11412161241925543,-0.13030235564974252,0.006621025184759318,-0.21746663189969162,0.20010451787546263
30,input_PARi,state__Tr,combined,,-0.15094911027996022,-0.13269389451138905,0.0060403011074490484,-0.2216765338363051,0.17872550474664772
31,input_PARi,state__sucrose,combined,,-0.5448681933832402,-0.4858099240966566,0.010144030372227792,-0.8092042840675056,0.593129492927287
32,input_PARi,state__Rd,combined,,-0.1644893198416813,-0.1794062770453586,0.006907676260915312,-0.3129419307163377,0.26086959818733196
33,input_PARi,state__sum_respi,combined,,-0.5680504018098004,-0.32317853746604963,0.011392110589271589,-0.5781264453107972,0.4470470868466237
34,input_PARi,state__Photosynthesis,combined,,-0.11716160629306456,-0.12832460043191632,0.006445677898266613,-0.21519049476633384,0.20290986486349233
35,input_PARi,state__PARa,combined,,-0.11542540233612202,-0.13373116201759744,0.006261535683766685,-0.21263851343849427,0.18662952631406138
36,output__axes__Total_Transpiration,state__An,combined,,-0.1910658288234116,-0.06337199601096319,0.0015128679552963938,-0.20375206857048606,0.2422010425511071
37,output__axes__Total_Transpiration,state__Transpiration,combined,,-0.00019682438058377704,-0.00017900609253300697,5.8492611178010614e-06,-0.0005101865932255104,0.0005588386938773094
38,output__axes__Total_Transpiration,state__S_Sucrose,combined,,-0.14350733308081584,-0.13728170835011008,0.006929723923861075,-0.4729789360880363,0.6952740458503402
39,output__axes__Total_Transpiration,state__Ts,combined,,-0.17626540040114805,-0.03821307803456178,0.002925369695364143,-0.2671473334464385,0.5802506153604275
