,target_id,reservoir_id,dataset_id,benchmark,exponent,test_score,train_mean,train_std,cv_mean,cv_std
738,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,1,-0.6447011846309636,-0.5070979081738993,0.012759960007402236,-1.9883058633603465,1.9779796983922384
739,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,2,-0.6009408427999301,-0.47315335522667795,0.015589181817645004,-2.8462264989748456,3.9697440294905637
740,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,3,-0.5796456803892853,-0.45815552464750386,0.018008842687575747,-4.727572072230325,8.073832439678299
741,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,4,-0.5705044799913922,-0.4523701435644001,0.019794965775543835,-8.655623449271562,16.553592629102894
742,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,5,-0.5687569530697829,-0.4514724998405833,0.02096666016926684,-16.912650045357655,34.54333733196318
743,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,6,-0.5712624959122932,-0.45309988707406507,0.021656410576287605,-34.8828260492382,74.67160029796382
744,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,7,-0.5760776703150712,-0.45602969752771694,0.02201235262241887,-77.48963518521003,176.11529568048937
745,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,8,-0.5820321566632718,-0.4596372832178758,0.02215770877185475,-198.76334754553244,509.9936092252083
746,output__axes__delta_teq,state__Photosynthesis,NEMA_combined,polynomial,9,-0.5884388129551538,-0.4635969275112621,0.02218216664616021,-649.7046945091162,2017.2576567732012
747,output__axes__delta_teq,state__PARa,NEMA_combined,polynomial,1,-0.7305032752846476,-0.7054068968367052,0.013964527992359562,-2.438694063609527,2.372323479823334
748,output__axes__delta_teq,state__PARa,NEMA_combined,polynomial,2,-0.7297166569395365,-0.7107942167763982,0.014309567240753857,-3.8245252840937893,5.377662550097185
749,output__axes__delta_teq,state__PARa,NEMA_combined,polynomial,3,-0.7407825114112412,-0.7247679257817364,0.014646738054005714,-7.365750091931135,13.425408041413444
