,target_id,reservoir_id,dataset_id,benchmark,narma_n,test_score,train_mean,train_std,cv_mean,cv_std
99,input_humidity,state__gs,NEMA_combined,NARMA,20,-1.525381983496765,-0.6835036950719855,0.018594889662876427,-1.3629245364140117,0.8816785974515071
100,input_humidity,state__gs,NEMA_combined,NARMA,50,-1.4110625955301517,-0.7217697235520875,0.012982251795975418,-1.2832868788598581,0.5464476997441071
101,input_humidity,state__gs,NEMA_combined,NARMA,100,-0.826585178944562,-0.7445979347513048,0.014192459977009367,-1.253792251552302,0.7004468169398096
102,input_humidity,state__Ag,NEMA_combined,NARMA,2,-0.8727579785299425,-0.7788074734708916,0.019188933237654533,-2.219948829484695,3.5267679239248517
103,input_humidity,state__Ag,NEMA_combined,NARMA,5,-0.9662166715867374,-0.7852137941243432,0.022738814269204793,-2.104871125635963,2.4979297858152645
104,input_humidity,state__Ag,NEMA_combined,NARMA,10,-1.0700861417303433,-0.7093359969342383,0.026437520057675114,-2.5798355452066373,2.9834935548527226
105,input_humidity,state__Ag,NEMA_combined,NARMA,20,-1.3154447490319703,-0.6338399468581442,0.013483518047818641,-1.164943376387913,0.717024839873284
106,input_humidity,state__Ag,NEMA_combined,NARMA,50,-1.482977299206324,-0.756855038270634,0.011808905757189628,-1.230633871809036,0.5342452589506935
107,input_humidity,state__Ag,NEMA_combined,NARMA,100,-0.906187435958902,-0.8041891505687386,0.013228398977909032,-1.3120646958983821,0.7901394482335586
108,input_humidity,state__Tr,NEMA_combined,NARMA,2,-0.26254889703443146,-0.20108818618967153,0.012384277231830006,-0.5704488928353377,0.7361881969739662
109,input_humidity,state__Tr,NEMA_combined,NARMA,5,-0.3731321742148979,-0.35376556897056877,0.023959037157037393,-0.883103212188443,1.0316967664034666
110,input_humidity,state__Tr,NEMA_combined,NARMA,10,-0.5554606259581765,-0.4264773366012532,0.034003710006286915,-1.89248963205117,3.2543288979702516
111,input_humidity,state__Tr,NEMA_combined,NARMA,20,-1.1424441553998212,-0.648938861132482,0.01147644232820283,-1.1596178699922643,0.5986924107869384
112,input_humidity,state__Tr,NEMA_combined,NARMA,50,-0.874090000606188,-0.5245383514103438,0.014962955339473857,-0.9948494099227428,1.014421438440802
113,input_humidity,state__Tr,NEMA_combined,NARMA,100,-0.4106330510944444,-0.3536311386514772,0.010833479934077404,-0.5563597501965982,0.34803452141889685
114,input_humidity,state__sucrose,NEMA_combined,NARMA,2,-0.8480650564660493,-0.666247011212379,0.018718402304668,-2.6949001082988877,6.282720180893396
115,input_humidity,state__sucrose,NEMA_combined,NARMA,5,-1.0039678781627224,-0.7718059850211212,0.021026388597019104,-2.3462280455646396,3.9638309298598484
116,input_humidity,state__sucrose,NEMA_combined,NARMA,10,-1.4225642904413727,-0.8612550062332659,0.023840326173316807,-2.3769400240285306,2.0030000732449724
117,input_humidity,state__sucrose,NEMA_combined,NARMA,20,-1.5987795947598993,-0.7775571561433716,0.017835407736004737,-1.5610843700317818,0.7954145261063227
118,input_humidity,state__sucrose,NEMA_combined,NARMA,50,-1.2927891302673051,-0.547927240628547,0.014901828195949023,-0.9399158572820883,0.5168550546011299
119,input_humidity,state__sucrose,NEMA_combined,NARMA,100,-0.8116951405876148,-0.6656293322022752,0.015685536154025154,-1.2476520936401443,1.541929958621778
120,input_humidity,state__Rd,NEMA_combined,NARMA,2,-0.9071052826922849,-0.6418531344533214,0.03634040293765953,-1.6086989690110436,2.003897160793293
121,input_humidity,state__Rd,NEMA_combined,NARMA,5,-0.9943874392970329,-0.6487118291985969,0.04109101614734824,-1.5871798007589881,1.5280506840286447
122,input_humidity,state__Rd,NEMA_combined,NARMA,10,-1.1375118636998685,-0.7118047298011215,0.040443843816096434,-2.3596970308598877,2.184710063760539
123,input_humidity,state__Rd,NEMA_combined,NARMA,20,-1.3450002997109392,-0.5959106534501746,0.02462174858826739,-1.2947725301210051,0.7860878763127915
124,input_humidity,state__Rd,NEMA_combined,NARMA,50,-1.5508040111367147,-0.6214334612500012,0.02499323378958809,-0.9891184834324427,0.6664275442749538
125,input_humidity,state__Rd,NEMA_combined,NARMA,100,-0.864117718952913,-0.5959330979464859,0.02483692448306198,-0.8786109785818315,0.4459170079407884
126,input_humidity,state__sum_respi,NEMA_combined,NARMA,2,-0.8575544978036352,-0.6333443872778837,0.030979874173663033,-1.6827109325321348,2.1996532283319636
127,input_humidity,state__sum_respi,NEMA_combined,NARMA,5,-1.050177568836948,-0.7324343209520668,0.03542126982860077,-1.8394798052515564,2.222084664814929
128,input_humidity,state__sum_respi,NEMA_combined,NARMA,10,-1.2938709210563903,-0.7664762851471584,0.03628581900411281,-2.251903121065414,1.681726786747452
129,input_humidity,state__sum_respi,NEMA_combined,NARMA,20,-1.5462454061805684,-0.785404481593621,0.025154804968629058,-1.502669985827943,0.7521671770337027
130,input_humidity,state__sum_respi,NEMA_combined,NARMA,50,-1.417371067911078,-0.5849100645038627,0.02200774293473908,-0.9609170974917367,0.576187499338242
131,input_humidity,state__sum_respi,NEMA_combined,NARMA,100,-0.7636133365847788,-0.5637201464161216,0.02086193140500292,-0.8979003328575053,0.41618371059151293
132,input_humidity,state__Photosynthesis,NEMA_combined,NARMA,2,-0.8726935083203573,-0.7748163686561196,0.018002401068242545,-2.283252748878996,3.865691307444649
133,input_humidity,state__Photosynthesis,NEMA_combined,NARMA,5,-0.9797472909358143,-0.8093651739334169,0.021915363488900063,-2.239755655164069,2.9098552833273326
134,input_humidity,state__Photosynthesis,NEMA_combined,NARMA,10,-1.112037594978449,-0.7486592563559362,0.020441253858173494,-2.6671273634225816,3.3843394564832145
135,input_humidity,state__Photosynthesis,NEMA_combined,NARMA,20,-1.3812612029618503,-0.598438565708277,0.01784379508596939,-1.1898297876563957,0.7887335186947304
136,input_humidity,state__Photosynthesis,NEMA_combined,NARMA,50,-1.4440499040549453,-0.762336970025704,0.013223494643710084,-1.291928865038041,0.6133426103838522
137,input_humidity,state__Photosynthesis,NEMA_combined,NARMA,100,-0.9039384593682501,-0.7949323238937158,0.01447120202512045,-1.2860894022896707,0.799159531010988
138,input_humidity,state__PARa,NEMA_combined,NARMA,2,-0.938656921024422,-0.8934415159814112,0.00710609778294884,-2.735859253011906,5.427836055426913
139,input_humidity,state__PARa,NEMA_combined,NARMA,5,-1.0891737103355883,-0.9978832835327067,0.0010852971257813515,-2.9154965386469174,4.91080627275612
140,input_humidity,state__PARa,NEMA_combined,NARMA,10,-1.1651150198369977,-0.9749279714559362,0.01001392677144161,-3.060471743843374,4.2481365501447375
141,input_humidity,state__PARa,NEMA_combined,NARMA,20,-1.2691302930940378,-0.6513550127438027,0.01172650447366146,-1.1428888862187014,0.6967047244824303
142,input_humidity,state__PARa,NEMA_combined,NARMA,50,-1.389150598297966,-0.8348197916348038,0.009388702302767666,-1.3565271373087258,0.7435241286016758
143,input_humidity,state__PARa,NEMA_combined,NARMA,100,-0.9481880942225294,-0.8933901264507751,0.008672364072715584,-1.4295467618363786,1.123742918173081
144,input_PARi,state__An,NEMA_combined,NARMA,2,-0.20195774353715457,-0.16950180980102664,0.0063695044782714205,-0.36191607067432047,0.28255447702107866
145,input_PARi,state__An,NEMA_combined,NARMA,5,-0.2772970053416374,-0.26742319256757857,0.007476928790009792,-0.5962462936724541,0.45881392722413633
146,input_PARi,state__An,NEMA_combined,NARMA,10,-0.4428752920260835,-0.4310612434100311,0.009284086291378738,-1.0090518518298377,1.0985453156811
147,input_PARi,state__An,NEMA_combined,NARMA,20,-0.38078329093800367,-0.3103030051664661,0.0058071332356844346,-0.959191717200709,1.0522377159960712
148,input_PARi,state__An,NEMA_combined,NARMA,50,-0.40938579391048624,-0.14177705127105916,0.005351174113993003,-0.27313174943815544,0.18384045857010967
149,input_PARi,state__An,NEMA_combined,NARMA,100,-0.3163648371806493,-0.14713052257197853,0.005586148000490873,-0.24334425145711047,0.16123363641370148
150,input_PARi,state__Transpiration,NEMA_combined,NARMA,2,-0.2179605928650277,-0.16413695948671198,0.006214853415769919,-0.41681324126681785,0.44801708243966576
151,input_PARi,state__Transpiration,NEMA_combined,NARMA,5,-0.28964554882989113,-0.22302660062643248,0.005400207744456748,-0.6061446407004645,0.6707701387020061
152,input_PARi,state__Transpiration,NEMA_combined,NARMA,10,-0.4037598083566343,-0.37617331111619595,0.005968778144938886,-0.8640627482065215,0.8853274928919708
153,input_PARi,state__Transpiration,NEMA_combined,NARMA,20,-0.3088257024409867,-0.26769717209117616,0.0056687828476115676,-0.8267156027983488,0.8409755093333404
154,input_PARi,state__Transpiration,NEMA_combined,NARMA,50,-0.452829937636683,-0.12324834255121253,0.005228178995345074,-0.27134202301498694,0.25640607493617273
155,input_PARi,state__Transpiration,NEMA_combined,NARMA,100,-0.3667964665070941,-0.142584872200978,0.005815781116770897,-0.21938457547757192,0.13875630982320655
156,input_PARi,state__S_Sucrose,NEMA_combined,NARMA,2,-0.19841360628991092,-0.16234601984414804,0.005673440717751617,-0.3477604321667079,0.268161353661353
157,input_PARi,state__S_Sucrose,NEMA_combined,NARMA,5,-0.2890977400050201,-0.2710811899962259,0.005104207660104125,-0.6115615587781512,0.4252370093889479
158,input_PARi,state__S_Sucrose,NEMA_combined,NARMA,10,-0.5114621533751769,-0.5211019596924882,0.006097795522341525,-1.1611404328168848,1.020586327716736
159,input_PARi,state__S_Sucrose,NEMA_combined,NARMA,20,-0.4181366411385227,-0.34950566642766295,0.002908112152614306,-1.2744310393393252,2.0684922831809347
160,input_PARi,state__S_Sucrose,NEMA_combined,NARMA,50,-0.4558737262430896,-0.14299887189554256,0.004151341829856143,-0.2860308412957578,0.16825469803822024
161,input_PARi,state__S_Sucrose,NEMA_combined,NARMA,100,-0.36137284179042434,-0.1691258489170548,0.004528257445894861,-0.2644823454874527,0.12337607279756976
162,input_PARi,state__Ts,NEMA_combined,NARMA,2,-0.22978483543360181,-0.16060170292276074,0.0052368880898658035,-0.3464072463002422,0.22208936326280115
163,input_PARi,state__Ts,NEMA_combined,NARMA,5,-0.31863219792464653,-0.21166210957804762,0.004820718547422344,-0.46935700114723167,0.32043415688627114
164,input_PARi,state__Ts,NEMA_combined,NARMA,10,-0.4847570691208482,-0.3296775139168474,0.0071799377224008795,-0.8467025153817811,0.892630966997935
165,input_PARi,state__Ts,NEMA_combined,NARMA,20,-0.3593972667864669,-0.2527035925756491,0.005101215046343948,-0.8888083715789256,0.8172056342006184
166,input_PARi,state__Ts,NEMA_combined,NARMA,50,-0.36818215660731063,-0.15402376438369209,0.005801145550734543,-0.3516648930067883,0.245473151802153
167,input_PARi,state__Ts,NEMA_combined,NARMA,100,-0.3337856244661674,-0.16658244749387235,0.007723241113115087,-0.3372362733643294,0.33918655151760824
168,input_PARi,state__gs,NEMA_combined,NARMA,2,-0.2042667664698906,-0.15896011307036934,0.006298810017360159,-0.38369556469224664,0.39773356151052003
169,input_PARi,state__gs,NEMA_combined,NARMA,5,-0.2908559169280122,-0.2717048506781638,0.005523797955363708,-0.7252485263161947,0.7737384684460022
170,input_PARi,state__gs,NEMA_combined,NARMA,10,-0.46824380434981855,-0.4704267339553222,0.0049988889312474055,-1.250145179485815,1.4096071007169166
171,input_PARi,state__gs,NEMA_combined,NARMA,20,-0.41957972354993545,-0.3709770088827053,0.005601391749320458,-1.250186590059061,1.2972652717181985
172,input_PARi,state__gs,NEMA_combined,NARMA,50,-0.5445293221199666,-0.16829071913157556,0.00545935272668693,-0.35960118490196064,0.25461401344546647
173,input_PARi,state__gs,NEMA_combined,NARMA,100,-0.44872754443232427,-0.18859510594419526,0.006719009680257348,-0.31618560553332403,0.17883470132494397
174,input_PARi,state__Ag,NEMA_combined,NARMA,2,-0.2051028485784215,-0.17251822356576105,0.00600979349980367,-0.345535677107038,0.2651844704597393
175,input_PARi,state__Ag,NEMA_combined,NARMA,5,-0.307648565278255,-0.3023379935870827,0.005415706556320741,-0.6278872602620751,0.4272810487883792
176,input_PARi,state__Ag,NEMA_combined,NARMA,10,-0.5110258907473438,-0.5208191769057623,0.005614314194118332,-1.1506593362684483,1.0087710479091945
